cons,averageTTL,active,life,domainName,target
1,56,19.9890486,20.99931554,monsterenergy.com,0
1,56,9.609856263,13.99863107,jotform.co,0
1,56,24.72279261,33.99589322,s5.com,0
1,56,5.94934976,6.997946612,besteditingonline.com,0
1,50,15.91238877,17.99863107,craigslist.ca,0
1,56,19.91786448,20.99931554,bizhat.com,0
1,56,17.26762491,25.99863107,rozetka.com.ua,0
1,47,4.583162218,8,mikado-themes.com,0
1,56,23.92881588,24.99657769,filmlinc.org,0
1,56,16.0054757,20,buddytv.com,0
1,43,16.95824778,17.99863107,ndesign-studio.com,0
1,57,7.063655031,12,threejs.org,0
1,51,13.76865161,16,xtranormal.com,0
1,56,20,27.99726215,americanhumane.org,0
1,116,23.98083504,28.99657769,digits.com,0
1,57,14.00410678,15.00068446,societyforscience.org,0
1,56,22.83915127,28.00273785,hudson.org,0
1,44,12.95003422,13.99863107,planetadelibros.com,0
1,57,26.91033539,27.9945243,scripps.com,0
1,56,15.4770705,18.67488022,dotsub.com,0
1,56,8.459958932,16,valuepenguin.com,0
1,241,19.11293634,23.92060233,lidovky.cz,0
1,44,23.06091718,24.05749487,cdjapan.co.jp,0
1,49,21.29500342,22.99794661,motigo.com,0
1,50,27.54277892,28.99931554,fico.com,0
1,46,19.91786448,20.99931554,forumcommunity.net,0
1,57,19.00342231,20,northamptonapl.org,0
1,40,16.43805613,26.00136893,crystalmark.info,0
1,238,23.52908966,28.73100616,elmercurio.com,0
1,47,26.43942505,32.99657769,revolve.com,0
1,47,14.99520876,19.00068446,towersupplies.com,0
2,41,17.99315537,23.00068446,55188.com,0
1,244,27.3045859,27.99726215,finder.com,0
1,46,18.00410678,19.00068446,outdooractive.com,0
1,56,16.5284052,25.00205339,pickyourown.org,0
1,56,16.82956879,17.99863107,obrasociallacaixa.org,0
1,47,19.41409993,20,blogdrive.com,0
1,56,11.85763176,16.99931554,thedieline.com,0
1,39,12.93908282,18.00136893,zhuangfang.com,0
1,57,17.45653662,18.99794661,webfoundation.org,0
1,56,21.16906229,29.99589322,compassion.com,0
1,53,13.65366188,19.00068446,archiveofourown.org,0
1,56,23.8275154,29.00205339,nationalparks.org,0
1,237,24.74195756,27.4715948,khan.co.kr,0
1,49,10.89938398,20,messynessychic.com,0
1,51,23.98631075,24.99657769,quechoisir.org,0
1,51,17.24845996,23.00068446,ruby-doc.org,0
1,56,7.003422313,8,freecodecamp.com,0
1,108,0,0.999315537,quanaochipchip.com,0
1,226,19.6659822,25.00205339,a9.com,0
1,56,1.002053388,0.999315537,canadadrugsonlinewxwe.com,0
1,56,9.957563313,10.99794661,ronangelo.com,0
1,243,24.92265572,26.00136893,cma-cgm.com,0
1,78,21.3744011,25.00205339,5184.com,0
1,54,7.989048597,8.999315537,gladwellbooks.com,0
1,42,20.91718001,21.99863107,tolweb.org,0
1,47,19.00342231,20,changingminds.org,0
1,56,25.99863107,26.99520876,stereophile.com,0
2,56,0.673511294,0.999315537,affordablepapers.biz,0
1,96,21.00205339,30.99794661,jctrans.com,0
1,232,11.06913073,12.06570842,huffingtonpost.jp,0
1,116,14.00136893,15.99726215,collectorsweekly.com,0
1,119,16.00273785,16.99931554,clipsyndicate.com,0
1,56,10.20396988,13.00205339,egyptindependent.com,0
1,42,20.62422998,23.00068446,shenchuang.com,0
1,57,11.9945243,16.99657769,gizchina.com,0
1,42,18.02874743,23.00068446,yodao.com,0
1,244,26.6091718,28.00273785,aplus.com,0
1,56,15.00342231,16,any-video-converter.com,0
1,239,23.00889802,32.99657769,childrensplace.com,0
1,232,11.94250513,12.99931554,vgorode.ua,0
1,115,25.54688569,26.99520876,spj.org,0
1,56,2.98973306,4,micaze.com,0
1,56,16.65708419,16.99931554,junkee.com,0
1,57,23.84394251,28.99931554,ncte.org,0
1,56,13.00205339,13.99863107,greenweddingshoes.com,0
1,56,17.54414784,20,journaldugeek.com,0
1,43,10.00410678,10.99794661,smsbenkad.com,0
1,115,24.678987,25.99589322,hslda.org,0
1,56,11.85489391,15.00068446,wegotthiscovered.com,0
1,56,25.11978097,27.61396304,tdbank.com,0
2,52,13.9137577,15.00068446,toolserver.org,0
1,234,24.90075291,25.99589322,bahn.com,0
1,231,12.80766598,17.00205339,flowplayer.org,0
2,50,21.00205339,21.99863107,cppreference.com,0
1,46,26.08350445,29.99863107,esf.org,0
1,53,23.18138261,23.99726215,museothyssen.org,0
